Source: http://chemthermo.ddbst.com/Parameters/2012-01-18%20modified%20UNIFAC.txt
No.  Subgroup name    Main group                     R           Q
74   CF3               40  CF2                  1.2840      1.2660
75   CF2               40  CF2                  1.2840      1.0980
76   CF                40  CF2                  0.8215      0.5135
77   COO               41  COO                  1.6000      0.9000
78   CY-CH2            42  CY-CH2               0.7136      0.8635
79   CY-CH             42  CY-CH2               0.3479      0.1071
80   CY-C              42  CY-CH2               0.3470      0.0000
81   OH (S)             5  OH                   1.0630      0.8663
82   OH (T)             5  OH                   0.6895      0.8345
83   CY-CH2O           43  CY-CH2O              1.4046      1.4000
84   TRIOXAN           43  CY-CH2O              1.0413      1.0116
85   CNH2              14  CH2NH2               1.6607      0.9850
86   NMP               46  CY-CONC              3.9810      3.2000
87   NEP               46  CY-CONC              3.7543      2.8920
88   NIPP              46  CY-CONC              3.5268      2.5800
89   NTBP              46  CY-CONC              3.2994      2.3520
91   CONH2             47  CONR                 1.4515      1.2480
92   CONHCH3           47  CONR                 1.5000      1.0800
100  CONHCH2           47  CONR                 1.5000      1.0800
101  AM(CH3)2          48  CONR2                2.4748      1.9643
102  AMCH3CH2          48  CONR2                2.2739      1.5754
103  AM(CH2)2          48  CONR2                2.0767      1.1866
104  AC2H2S            52  ACS                  1.7943      1.3400
105  AC2HS             52  ACS                  1.6282      1.0600
106  AC2S              52  ACS                  1.4621      0.7800
107  H2COCH            53  EPOXIDES             1.3601      1.8031
108  COCH              53  EPOXIDES             0.6830      0.3418
109  HCOCH             53  EPOXIDES             0.9104      0.6538
110  (CH2)2SU          56  SULFONE              2.6870      2.1200
111  CH2SUCH           56  SULFONE              2.4600      1.8080
112  (CH3)2CB          55  CARBONAT             2.4200      2.4976
113  (CH2)2CB          55  CARBONAT             2.4200      2.0018
114  CH2CH3CB          55  CARBONAT             2.4200      2.2497
119  H2COCH2           53  EPOXIDES             1.0630      1.1230
153  H2COC             53  EPOXIDES             0.9104      0.6538
178  C3H2N2+           84  IMIDAZOL             1.7989      0.6400
179  BTI-              85  BTI                  5.8504      5.7513
184  C3H3N2+           84  IMIDAZOL             2.4110      2.4090
189  C4H8N+            87  PYRROL               2.7986      2.7744
195  BF4-              89  BF4                  4.6200      1.1707
196  C5H5N+            90  PYRIDIN              2.4878      2.4740
197  OTF-              91  OTF                  3.3854      2.0090

